id,ACS11_5yr_B01003001
g48209010901,7613
g48209010809,5421
g48209010909,4208
g48209010906,10851
g48209010303,6980
g48209010908,6733
g48209010805,5731
g48209010808,5889
g48209010806,3900
g48209010807,1972
g48209010803,3928
g48209010907,9906
g48209010910,7911
g48209010905,5327
g48209010304,5430
g48209010702,2486
g48209010804,8886
g48209010701,6658
g48209010200,6449
g48209010100,2213
g48209010600,9402
g48209010500,3385
g48209010400,7626
g48209010302,4214
g48209010902,9708
g48453001857,4841
g48453001862,5549
g48453001855,13145
g48453001859,1080
g48453001858,14265
g48453001779,5984
g48453001776,2387
g48453002425,2972
g48453001915,1806
g48453001778,3582
g48453001777,5561
g48453001770,11279
g48453001775,4293
g48453001772,2763
g48453002428,5277
g48453001864,2817
g48453001846,2494
g48453001785,3932
g48453001781,2272
g48453001780,4115
g48453001784,5225
g48453001757,1975
g48453001919,3802
g48453001918,2413
g48453002318,5714
g48453000307,1664
g48453000205,3158
g48453000305,3064
g48453000206,3246
g48453001783,5313
g48453001916,3484
g48453001917,4618
g48453001402,2701
g48453001308,2731
g48453001307,3780
g48453001786,5171
g48453002500,5153
g48453001782,5017
g48453002426,6643
g48453002211,1455
g48453000306,1830
g48453001771,3977
g48453001773,5388
g48453001863,3603
g48453001861,4431
g48453001860,4055
g48453001856,5332
g48453002435,6466
g48453002319,0
g48453000304,3349
g48453002317,4715
g48453001774,7651
g48453002430,3359
g48453002427,7173
g48453002429,562
g48453002431,6844
g48453002433,5409
g48453002208,6728
g48453002432,2121
g48453002434,1616
g48453002436,2007
g48453001914,5917
g48453002209,7320
g48453002212,712
g48453002207,7954
g48453002210,3055
g48453001854,4493
g48453002411,6089
g48453002410,3746
g48453002409,3373
g48453002403,3209
g48453002402,6165
g48453002312,6409
g48453002308,5603
g48453002307,5567
g48453002315,3336
g48453002424,3212
g48453002316,5856
g48453002304,4270
g48453001747,5196
g48453002113,3635
g48453002112,4836
g48453002110,4451
g48453002109,3171
g48453002108,3814
g48453002107,4122
g48453002106,3373
g48453002105,5310
g48453002104,3117
g48453002003,3878
g48453002002,2769
g48453002005,4522
g48453002313,4495
g48453001911,2964
g48453001901,5550
g48453001835,5213
g48453001832,3069
g48453001829,2699
g48453001828,3656
g48453001849,5651
g48453001826,2059
g48453001845,3209
g48453001844,3454
g48453002419,3912
g48453001823,6300
g48453001822,6809
g48453001821,5312
g48453001820,6864
g48453001819,4856
g48453001818,5593
g48453001817,3687
g48453001813,6538
g48453001812,7381
g48453001811,3032
g48453001806,6486
g48453001805,4547
g48453001804,5885
g48453001738,6676
g48453001750,5124
g48453002004,2117
g48453001841,16730
g48453001853,3110
g48453001753,1182
g48453001719,3830
g48453001718,5440
g48453001713,3895
g48453001712,3703
g48453001707,5221
g48453001706,3570
g48453001705,4594
g48453001605,3817
g48453001604,3855
g48453001603,4448
g48453001602,3234
g48453001305,5551
g48453001304,3790
g48453001303,2358
g48453001200,3632
g48453001100,3800
g48453001000,3751
g48453000902,5348
g48453001505,4220
g48453001504,4644
g48453001503,3862
g48453001501,4850
g48453000901,1860
g48453000804,2528
g48453000803,1953
g48453000802,3127
g48453000801,1394
g48453000700,1157
g48453000604,5032
g48453000603,7128
g48453000601,9381
g48453000500,4547
g48453000402,2471
g48453000401,3236
g48453000302,5411
g48453000204,2994
g48453000203,1373
g48453001754,4587
g48453000102,2526
g48453000101,3801
g48453002407,4247
g48453001606,0
g48453002310,2624
g48453980000,0
g48453001746,3990
g48453002202,8714
g48453002201,1783
g48453002111,4365
g48453001913,4801
g48453001910,3970
g48453001834,7687
g48453001908,7791
g48453001833,7388
g48453001840,8435
g48453001851,8443
g48453001824,1817
g48453001749,5659
g48453001843,2280
g48453001729,4666
g48453001728,6516
g48453001745,2491
g48453001766,7102
g48453002421,6325
g48453002423,5753
g48453002314,5256
g48453001748,4892
g48453001912,3943
g48453001752,3757
g48453001760,14133
g48453001742,5108
g48453001847,7293
g48453001848,4532
g48453001755,5813
g48453001756,4020
g48453001764,5557
g48453001737,10085
g48453001740,4098
g48453001765,14221
g48453001714,11986
g48453001403,1315
g48453001733,3321
g48453001769,5249
g48453001768,5368
g48453001722,4187
g48453001761,6820
g48453001751,1953
g48453001716,4843
g48453001842,7342
g48453001741,3615
g48453001850,4303
g48453001839,6200
g48453001401,2913
g48453002422,5270
g48453002413,4355
g48453002412,5508
g48491020603,8103
g48491021507,7669
g48491020804,7385
g48491020707,4421
g48491020505,2935
g48491020408,4119
g48491020411,5974
g48491020409,3967
g48491020506,8649
g48491020507,2775
g48491020317,2793
g48491020508,4529
g48491020311,2611
g48491020318,8254
g48491020326,6070
g48491020324,5378
g48491020328,6573
g48491020319,5245
g48491020321,1649
g48491020325,3431
g48491020320,6866
g48491020314,5271
g48491020110,3741
g48491020604,4850
g48491020109,2631
g48491021601,2754
g48491020803,3926
g48491020805,6747
g48491020202,4536
g48491020204,4497
g48491020112,3069
g48491021602,3451
g48491021603,1816
g48491020106,2981
g48491020114,4992
g48491020108,2961
g48491020406,5949
g48491020405,5726
g48491020504,8648
g48491020701,2489
g48491020602,5175
g48491020704,5278
g48491021502,4914
g48491021503,3912
g48491020403,1920
g48491021203,2967
g48491020503,4720
g48491020302,2644
g48491021000,3130
g48491021401,9433
g48491021201,2766
g48491021100,2695
g48491020404,3406
g48491021202,2979
g48491020703,11194
g48491021403,3692
g48491020310,2345
g48491020900,4020
g48491021300,3631
g48491021402,4156
g48491020301,5421
g48491020113,2433
g48491020509,6892
g48491020605,6752
g48491020312,6309
g48491020410,6027
g48491020316,3202
g48491020323,2718
g48491020327,2549
g48491020322,8383
g48491020313,8235
g48491020315,3427
g48491020510,9332
g48491020708,6269
g48491020706,4192
g48491021505,6792
g48491020807,6589
g48491020809,5565
g48491020115,2045
g48491020111,2805
g48491020105,3489
g48491020203,2565
g48491020201,1459
g48491020107,4617
g48491021508,6047
g48491020808,1482
g48491021506,2400
g48491020806,1722
g48491021504,4787
g48021950501,7537
g48021950801,6149
g48021950802,7290
g48021950502,5692
g48021950700,4260
g48021950600,4350
g48021950200,8048
g48021950100,9742
g48021950300,12147
g48021950400,8153
g48055960102,3749
g48055960101,5822
g48055960500,7069
g48055960700,5785
g48055960600,2328
g48055960400,3590
g48055960300,3964
g48055960200,5488
