id,ACS11_5yr_B01003001
g48209010901,297.575757576
g48209010809,372.727272727
g48209010909,248.484848485
g48209010906,538.787878788
g48209010303,440.0
g48209010908,513.333333333
g48209010805,346.666666667
g48209010808,318.787878788
g48209010806,281.212121212
g48209010807,280.0
g48209010803,282.424242424
g48209010907,587.878787879
g48209010910,435.151515152
g48209010905,347.272727273
g48209010304,318.181818182
g48209010702,253.939393939
g48209010804,348.484848485
g48209010701,418.787878788
g48209010200,578.181818182
g48209010100,176.96969697
g48209010600,442.424242424
g48209010500,246.666666667
g48209010400,392.121212121
g48209010302,267.878787879
g48209010902,504.242424242
g48453001857,441.818181818
g48453001862,293.333333333
g48453001855,467.272727273
g48453001859,132.727272727
g48453001858,577.575757576
g48453001779,159.393939394
g48453001776,145.454545455
g48453002425,207.878787879
g48453001915,190.909090909
g48453001778,172.121212121
g48453001777,280.0
g48453001770,297.575757576
g48453001775,159.393939394
g48453001772,303.03030303
g48453002428,406.060606061
g48453001864,189.696969697
g48453001846,118.787878788
g48453001785,174.545454545
g48453001781,116.363636364
g48453001780,250.909090909
g48453001784,185.454545455
g48453001757,99.3939393939
g48453001919,100.0
g48453001918,99.3939393939
g48453002318,418.787878788
g48453000307,122.424242424
g48453000205,155.757575758
g48453000305,189.090909091
g48453000206,201.212121212
g48453001783,210.909090909
g48453001916,257.575757576
g48453001917,161.818181818
g48453001402,128.484848485
g48453001308,246.060606061
g48453001307,246.666666667
g48453001786,304.848484848
g48453002500,181.818181818
g48453001782,227.272727273
g48453002426,390.909090909
g48453002211,288.484848485
g48453000306,235.151515152
g48453001771,167.272727273
g48453001773,204.242424242
g48453001863,244.242424242
g48453001861,341.212121212
g48453001860,242.424242424
g48453001856,389.090909091
g48453002435,476.96969697
g48453002319,0.0
g48453000304,279.393939394
g48453002317,284.848484848
g48453001774,309.696969697
g48453002430,237.575757576
g48453002427,486.060606061
g48453002429,81.8181818182
g48453002431,390.303030303
g48453002433,380.0
g48453002208,531.515151515
