id,ACS11_5yr_B08101009,ACS11_5yr_B08101001,ACS11_5yr_B08101025,ACS11_5yr_B08101001
g48209010901,206.666666667,227.878787879,12.7272727273,227.878787879
g48209010809,189.696969697,173.939393939,0.0,173.939393939
g48209010909,137.575757576,139.393939394,0.0,139.393939394
g48209010906,258.787878788,270.303030303,0.0,270.303030303
g48209010303,303.636363636,338.787878788,103.03030303,338.787878788
g48209010908,210.909090909,311.515151515,0.0,311.515151515
g48209010805,181.818181818,186.666666667,0.0,186.666666667
g48209010808,207.878787879,205.454545455,0.0,205.454545455
g48209010806,104.848484848,135.151515152,0.0,135.151515152
g48209010807,149.696969697,175.151515152,0.0,175.151515152
g48209010803,170.303030303,178.787878788,0.0,178.787878788
g48209010907,250.303030303,318.787878788,29.0909090909,318.787878788
g48209010910,247.272727273,267.878787879,32.1212121212,267.878787879
g48209010905,175.151515152,171.515151515,20.0,171.515151515
g48209010304,199.393939394,172.727272727,41.8181818182,172.727272727
g48209010702,134.545454545,142.424242424,0.0,142.424242424
g48209010804,207.272727273,267.272727273,0.0,267.272727273
g48209010701,230.909090909,260.606060606,50.303030303,260.606060606
g48209010200,147.272727273,204.242424242,15.7575757576,204.242424242
g48209010100,166.666666667,163.03030303,0.0,163.03030303
g48209010600,225.454545455,226.060606061,0.0,226.060606061
g48209010500,152.121212121,164.848484848,26.6666666667,164.848484848
g48209010400,215.151515152,223.636363636,53.9393939394,223.636363636
g48209010302,159.393939394,155.151515152,14.5454545455,155.151515152
g48209010902,288.484848485,298.181818182,0.0,298.181818182
g48453001857,215.151515152,208.484848485,0.0,208.484848485
g48453001862,174.545454545,200.0,37.5757575758,200.0
g48453001855,332.727272727,313.939393939,20.0,313.939393939
g48453001859,78.1818181818,73.3333333333,0.0,73.3333333333
g48453001858,324.848484848,324.848484848,27.8787878788,324.848484848
g48453001779,221.212121212,197.575757576,0.0,197.575757576
g48453001776,115.757575758,103.03030303,15.1515151515,103.03030303
g48453002425,181.818181818,153.939393939,0.0,153.939393939
g48453001915,75.7575757576,73.3333333333,0.0,73.3333333333
g48453001778,134.545454545,130.909090909,0.0,130.909090909
g48453001777,212.727272727,186.666666667,13.9393939394,186.666666667
g48453001770,206.060606061,166.060606061,0.0,166.060606061
g48453001775,148.484848485,110.303030303,0.0,110.303030303
g48453001772,168.484848485,200.606060606,0.0,200.606060606
g48453002428,190.303030303,226.666666667,0.0,226.666666667
g48453001864,150.303030303,146.666666667,27.2727272727,146.666666667
g48453001846,81.8181818182,78.7878787879,0.0,78.7878787879
g48453001785,181.818181818,175.151515152,13.3333333333,175.151515152
g48453001781,118.181818182,112.727272727,0.0,112.727272727
g48453001780,166.666666667,186.666666667,0.0,186.666666667
g48453001784,116.96969697,122.424242424,0.0,122.424242424
g48453001757,91.5151515152,97.5757575758,21.8181818182,97.5757575758
g48453001919,78.7878787879,90.303030303,0.0,90.303030303
g48453001918,90.9090909091,107.878787879,0.0,107.878787879
g48453002318,227.878787879,275.757575758,161.212121212,275.757575758
g48453000307,98.7878787879,98.7878787879,14.5454545455,98.7878787879
g48453000205,140.606060606,155.151515152,117.575757576,155.151515152
g48453000305,148.484848485,179.393939394,53.9393939394,179.393939394
g48453000206,140.0,154.545454545,44.8484848485,154.545454545
g48453001783,176.96969697,151.515151515,0.0,151.515151515
g48453001916,117.575757576,136.96969697,0.0,136.96969697
g48453001917,140.0,124.848484848,0.0,124.848484848
g48453001402,92.7272727273,110.909090909,43.6363636364,110.909090909
g48453001308,110.303030303,198.181818182,63.6363636364,198.181818182
g48453001307,105.454545455,223.03030303,46.0606060606,223.03030303
g48453001786,264.848484848,240.0,52.1212121212,240.0
g48453002500,140.0,155.151515152,29.0909090909,155.151515152
g48453001782,122.424242424,164.242424242,0.0,164.242424242
g48453002426,218.181818182,246.666666667,48.4848484848,246.666666667
g48453002211,89.0909090909,86.0606060606,0.0,86.0606060606
g48453000306,146.060606061,150.303030303,34.5454545455,150.303030303
g48453001771,115.151515152,114.545454545,0.0,114.545454545
g48453001773,120.0,129.696969697,0.0,129.696969697
g48453001863,155.757575758,180.0,32.7272727273,180.0
g48453001861,224.242424242,148.484848485,1.81818181818,148.484848485
g48453001860,190.909090909,156.96969697,0.0,156.96969697
g48453001856,160.606060606,213.939393939,83.0303030303,213.939393939
g48453002435,159.393939394,180.0,0.0,180.0
g48453002319,0.0,0.0,0.0,0.0
g48453000304,182.424242424,201.818181818,58.1818181818,201.818181818
g48453002317,214.545454545,251.515151515,183.636363636,251.515151515
g48453001774,301.212121212,280.606060606,0.0,280.606060606
g48453002430,136.363636364,155.151515152,18.1818181818,155.151515152
g48453002427,173.333333333,273.333333333,134.545454545,273.333333333
g48453002429,54.5454545455,52.1212121212,0.0,52.1212121212
g48453002431,176.96969697,193.333333333,41.8181818182,193.333333333
g48453002433,207.878787879,263.03030303,0.0,263.03030303
g48453002208,189.090909091,215.151515152,20.0,215.151515152
g48453002432,105.454545455,122.424242424,1.81818181818,122.424242424
g48453002434,72.7272727273,86.6666666667,0.0,86.6666666667
g48453002436,160.0,162.424242424,0.0,162.424242424
g48453001914,163.636363636,174.545454545,8.48484848485,174.545454545
g48453002209,235.151515152,252.121212121,0.0,252.121212121
g48453002212,33.3333333333,25.4545454545,0.0,25.4545454545
g48453002207,255.757575758,287.272727273,81.2121212121,287.272727273
g48453002210,131.515151515,146.666666667,0.0,146.666666667
g48453001854,188.484848485,167.272727273,0.0,167.272727273
g48453002411,130.909090909,164.242424242,70.9090909091,164.242424242
g48453002410,131.515151515,158.181818182,38.7878787879,158.181818182
g48453002409,109.090909091,116.96969697,36.3636363636,116.96969697
g48453002403,115.151515152,164.848484848,27.8787878788,164.848484848
g48453002402,200.606060606,233.333333333,107.272727273,233.333333333
g48453002312,167.272727273,209.090909091,58.7878787879,209.090909091
g48453002308,176.96969697,237.575757576,118.181818182,237.575757576
g48453002307,164.848484848,260.606060606,95.1515151515,260.606060606
g48453002315,141.212121212,186.060606061,66.6666666667,186.060606061
g48453002424,118.787878788,181.212121212,116.363636364,181.212121212
g48453002316,185.454545455,282.424242424,110.303030303,282.424242424
g48453002304,154.545454545,296.363636364,72.7272727273,296.363636364
g48453001747,150.909090909,165.454545455,51.5151515152,165.454545455
g48453002113,102.424242424,121.818181818,49.696969697,121.818181818
g48453002112,147.272727273,212.727272727,69.0909090909,212.727272727
g48453002110,115.757575758,163.636363636,51.5151515152,163.636363636
g48453002109,140.0,166.060606061,33.9393939394,166.060606061
g48453002108,127.272727273,157.575757576,44.2424242424,157.575757576
g48453002107,132.121212121,149.090909091,41.8181818182,149.090909091
