id,ACS11_5yr_B25046001,ACS11_5yr_B01003001,ACS11_5yr_B08013001,ACS11_5yr_B08134001
g48209010901,6312.0,7613,118130.0,3855
g48209010809,4290.0,5421,72445.0,2270
g48209010909,2814.0,4208,56890.0,1906
g48209010906,6049.0,10851,163775.0,4463
g48209010303,3999.0,6980,59965.0,2941
g48209010908,4175.0,6733,96220.0,2960
g48209010805,4201.0,5731,71185.0,2246
g48209010808,5247.0,5889,90340.0,2554
g48209010806,2987.0,3900,64510.0,1658
g48209010807,1444.0,1972,30080.0,900
g48209010803,3336.0,3928,44295.0,1392
g48209010907,5766.0,9906,171320.0,4590
g48209010910,4336.0,7911,105015.0,3632
g48209010905,3705.0,5327,86720.0,2554
g48209010304,3490.0,5430,49935.0,2660
g48209010702,2009.0,2486,32570.0,1258
g48209010804,7934.0,8886,112125.0,3682
g48209010701,5403.0,6658,74415.0,3275
g48209010200,641.0,6449,19300.0,1245
g48209010100,1506.0,2213,23335.0,1041
g48209010600,7341.0,9402,118965.0,4288
g48209010500,1863.0,3385,33470.0,1461
g48209010400,4912.0,7626,74200.0,3528
g48209010302,2298.0,4214,41415.0,1793
g48209010902,7693.0,9708,162785.0,4606
g48453001857,3190.0,4841,63265.0,2431
g48453001862,3415.0,5549,64535.0,2541
g48453001855,8243.0,13145,163015.0,5860
g48453001859,837.0,1080,10395.0,547
g48453001858,9479.0,14265,208460.0,6937
g48453001779,4804.0,5984,92055.0,2460
g48453001776,1822.0,2387,30775.0,1336
g48453002425,2184.0,2972,49745.0,1738
g48453001915,1103.0,1806,13465.0,604
g48453001778,3019.0,3582,37455.0,1436
g48453001777,4073.0,5561,72405.0,3051
g48453001770,7628.0,11279,112865.0,4325
g48453001775,0.0,0,43520.0,1881
g48453001772,2193.0,2763,35660.0,1221
g48453002428,4000.0,5277,77825.0,2712
g48453001864,2127.0,2817,33135.0,1676
g48453001846,2012.0,2494,26595.0,1304
g48453001785,2996.0,3932,69320.0,2831
g48453001781,1901.0,2272,20085.0,874
g48453001780,3472.0,4115,64345.0,1776
g48453001784,3213.0,5225,46040.0,1863
g48453001757,1776.0,1975,20605.0,911
g48453001919,3020.0,3802,29615.0,1614
g48453001918,0.0,0,12475.0,759
g48453002318,3268.0,5714,68705.0,3068
g48453000307,1277.0,1664,15435.0,1035
g48453000205,2458.0,3158,44905.0,2127
g48453000305,2595.0,3064,33575.0,2140
g48453000206,2456.0,3246,35895.0,1601
