id,ACS11_5yr_B25046001,ACS11_5yr_B01003001,ACS11_5yr_B08013001,ACS11_5yr_B08134001
g48209010901,299.393939394,297.575757576,7718.18181818,212.727272727
g48209010809,283.03030303,372.727272727,7037.57575758,172.727272727
g48209010909,182.424242424,248.484848485,5201.21212121,134.545454545
g48209010906,300.0,538.787878788,15069.0909091,293.939393939
g48209010303,346.666666667,440.0,8313.93939394,339.393939394
g48209010908,335.757575758,513.333333333,10023.030303,248.484848485
g48209010805,327.272727273,346.666666667,5793.93939394,180.0
g48209010808,429.696969697,318.787878788,16451.5151515,216.363636364
g48209010806,150.303030303,281.212121212,10976.969697,163.03030303
g48209010807,213.333333333,280.0,6173.93939394,162.424242424
g48209010803,258.181818182,282.424242424,8100.0,187.272727273
g48209010907,342.424242424,587.878787879,15894.5454545,319.393939394
g48209010910,266.666666667,435.151515152,8488.48484848,267.272727273
g48209010905,227.878787879,347.272727273,7742.42424242,170.303030303
g48209010304,212.121212121,318.181818182,4918.18181818,172.121212121
g48209010702,216.363636364,253.939393939,3688.48484848,141.818181818
g48209010804,327.878787879,348.484848485,8787.87878788,223.03030303
g48209010701,363.636363636,418.787878788,7584.84848485,262.424242424
g48209010200,95.1515151515,578.181818182,3843.63636364,190.303030303
g48209010100,147.878787879,176.96969697,6079.39393939,160.0
g48209010600,294.545454545,442.424242424,10807.8787879,238.787878788
g48209010500,166.060606061,246.666666667,12861.2121212,156.96969697
g48209010400,277.575757576,392.121212121,7029.6969697,227.878787879
g48209010302,158.181818182,267.878787879,7913.93939394,150.303030303
g48209010902,426.666666667,504.242424242,13010.9090909,300.0
g48453001857,227.272727273,441.818181818,8938.18181818,215.151515152
g48453001862,212.727272727,293.333333333,5104.84848485,201.212121212
g48453001855,346.060606061,467.272727273,14204.8484848,312.727272727
g48453001859,104.848484848,132.727272727,1350.90909091,75.7575757576
g48453001858,343.03030303,577.575757576,16626.6666667,326.060606061
g48453001779,272.727272727,159.393939394,11752.7272727,215.757575758
g48453001776,118.181818182,145.454545455,4132.12121212,116.363636364
g48453002425,135.757575758,207.878787879,7600.60606061,154.545454545
g48453001915,103.636363636,190.909090909,2109.6969697,60.6060606061
g48453001778,186.666666667,172.121212121,6226.66666667,137.575757576
g48453001777,202.424242424,280.0,6107.87878788,192.727272727
g48453001770,210.303030303,297.575757576,6589.6969697,212.121212121
g48453001775,0.0,0,4221.21212121,127.878787879
g48453001772,272.727272727,303.03030303,6091.51515152,176.96969697
g48453002428,226.666666667,406.060606061,7826.06060606,238.787878788
g48453001864,146.666666667,189.696969697,3700.0,146.666666667
g48453001846,104.242424242,118.787878788,1892.72727273,83.0303030303
g48453001785,195.151515152,174.545454545,7549.09090909,192.121212121
g48453001781,101.212121212,116.363636364,2994.54545455,116.363636364
g48453001780,239.393939394,250.909090909,7492.72727273,175.757575758
g48453001784,111.515151515,185.454545455,3790.3030303,118.787878788
g48453001757,129.090909091,99.3939393939,2139.39393939,93.9393939394
g48453001919,120.0,100.0,3338.78787879,95.7575757576
g48453001918,0.0,0,1764.24242424,102.424242424
g48453002318,248.484848485,418.787878788,9240.60606061,281.818181818
g48453000307,104.848484848,122.424242424,1835.15151515,96.3636363636
g48453000205,161.818181818,155.757575758,5529.6969697,153.939393939
g48453000305,203.636363636,189.090909091,3733.93939394,180.0
g48453000206,187.272727273,201.212121212,6447.27272727,149.696969697
g48453001783,191.515151515,210.909090909,5999.39393939,190.909090909
g48453001916,168.484848485,257.575757576,3963.03030303,126.060606061
g48453001917,132.727272727,161.818181818,4596.36363636,141.212121212
g48453001402,73.9393939394,128.484848485,4873.33333333,117.575757576
g48453001308,135.757575758,246.060606061,8558.18181818,201.212121212
g48453001307,153.333333333,246.666666667,5629.6969697,220.606060606
g48453001786,241.212121212,304.848484848,7409.6969697,246.666666667
g48453002500,171.515151515,181.818181818,5118.78787879,159.393939394
g48453001782,174.545454545,227.272727273,3398.78787879,129.090909091
g48453002426,221.212121212,390.909090909,8289.6969697,240.606060606
g48453002211,153.333333333,288.484848485,3000.0,86.0606060606
g48453000306,152.727272727,235.151515152,3883.03030303,149.696969697
g48453001771,150.909090909,167.272727273,6870.90909091,113.333333333
g48453001773,144.848484848,204.242424242,3760.60606061,124.848484848
g48453001863,0.0,0,4794.54545455,175.151515152
g48453001861,212.727272727,341.212121212,3958.78787879,147.272727273
g48453001860,221.212121212,242.424242424,4704.24242424,154.545454545
g48453001856,238.787878788,389.090909091,7044.24242424,224.848484848
g48453002435,289.090909091,476.96969697,6487.27272727,179.393939394
g48453002319,0,0,0,0
g48453000304,285.454545455,279.393939394,4216.36363636,200.606060606
g48453002317,255.151515152,284.848484848,7192.12121212,261.818181818
g48453001774,253.333333333,309.696969697,10563.030303,321.212121212
g48453002430,153.939393939,237.575757576,6990.3030303,152.727272727
g48453002427,218.181818182,486.060606061,23861.2121212,273.333333333
g48453002429,80.0,81.8181818182,1933.33333333,52.1212121212
g48453002431,213.333333333,390.303030303,8103.63636364,193.939393939
g48453002433,289.090909091,380.0,6872.72727273,272.121212121
g48453002208,250.909090909,531.515151515,7587.27272727,216.363636364
g48453002432,144.848484848,272.727272727,2509.09090909,87.2727272727
g48453002434,100.0,132.121212121,3097.57575758,80.6060606061
g48453002436,180.0,312.727272727,5308.48484848,166.666666667
g48453001914,183.636363636,221.212121212,6212.12121212,184.242424242
g48453002209,347.272727273,585.454545455,9652.12121212,249.090909091
g48453002212,0.0,0,1390.3030303,25.4545454545
g48453002207,296.363636364,397.575757576,22166.6666667,283.636363636
g48453002210,244.848484848,362.424242424,6034.54545455,137.575757576
g48453001854,217.575757576,261.212121212,14250.3030303,164.848484848
g48453002411,178.181818182,233.333333333,9981.21212121,161.818181818
g48453002410,157.575757576,209.696969697,5141.81818182,153.939393939
g48453002409,108.484848485,183.636363636,3286.06060606,116.96969697
g48453002403,156.96969697,326.060606061,5651.51515152,170.303030303
g48453002402,201.818181818,379.393939394,8581.81818182,242.424242424
g48453002312,200.0,359.393939394,7232.12121212,203.636363636
g48453002308,241.818181818,439.393939394,16697.5757576,230.909090909
g48453002307,233.939393939,485.454545455,7824.84848485,266.666666667
g48453002315,148.484848485,284.242424242,5696.36363636,181.212121212
g48453002424,138.787878788,227.878787879,4997.57575758,180.0
g48453002316,0.0,0,12248.4848485,282.424242424
g48453002304,170.303030303,428.484848485,9520.60606061,284.848484848
g48453001747,191.515151515,280.606060606,5486.66666667,163.03030303
g48453002113,134.545454545,235.757575758,4267.87878788,116.96969697
g48453002112,169.090909091,336.363636364,9320.0,216.363636364
g48453002110,138.787878788,318.787878788,5290.3030303,163.636363636
g48453002109,214.545454545,218.181818182,4733.93939394,165.454545455
g48453002108,132.727272727,344.848484848,5107.87878788,158.181818182
g48453002107,138.181818182,279.393939394,3343.03030303,144.848484848
g48453002106,196.363636364,339.393939394,3900.0,152.121212121
g48453002105,165.454545455,393.333333333,11063.030303,229.090909091
g48453002104,159.393939394,223.03030303,3310.90909091,130.909090909
g48453002003,183.636363636,330.909090909,4746.06060606,158.181818182
g48453002002,140.606060606,195.151515152,4174.54545455,151.515151515
g48453002005,207.878787879,300.606060606,7120.0,182.424242424
g48453002313,177.575757576,309.696969697,8878.78787879,202.424242424
g48453001911,120.606060606,132.121212121,2857.57575758,134.545454545
g48453001901,152.727272727,545.454545455,9816.36363636,513.333333333
g48453001835,206.666666667,357.575757576,4110.90909091,157.575757576
g48453001832,146.060606061,252.727272727,4172.12121212,126.666666667
g48453001829,139.393939394,143.03030303,3216.36363636,142.424242424
g48453001828,129.696969697,138.181818182,5715.15151515,103.636363636
g48453001849,0.0,0,14785.4545455,236.363636364
g48453001826,121.818181818,159.393939394,2140.0,87.8787878788
g48453001845,122.424242424,193.939393939,3496.96969697,105.454545455
g48453001844,107.272727273,207.878787879,5130.90909091,127.878787879
g48453002419,0.0,0,5170.3030303,129.696969697
g48453001823,243.03030303,403.03030303,7623.63636364,262.424242424
g48453001822,243.636363636,438.181818182,12040.0,309.696969697
g48453001821,164.242424242,318.181818182,5544.24242424,212.121212121
g48453001820,214.545454545,387.272727273,8580.0,273.939393939
g48453001819,153.333333333,335.151515152,8290.3030303,195.151515152
g48453001818,191.515151515,435.151515152,6792.12121212,306.666666667
g48453001817,170.303030303,242.424242424,4529.09090909,153.333333333
g48453001813,233.939393939,459.393939394,7137.57575758,255.757575758
g48453001812,231.515151515,427.272727273,14039.3939394,337.575757576
g48453001811,136.96969697,343.636363636,5889.09090909,247.272727273
g48453001806,203.636363636,398.181818182,10369.0909091,267.272727273
g48453001805,168.484848485,325.454545455,7709.6969697,226.060606061
g48453001804,256.96969697,369.696969697,7739.39393939,259.393939394
g48453001738,166.666666667,178.181818182,11455.1515152,193.939393939
g48453001750,240.0,275.151515152,9275.15151515,206.060606061
g48453002004,133.333333333,205.454545455,4764.24242424,161.212121212
g48453001841,367.272727273,623.636363636,8790.90909091,388.484848485
g48453001853,104.848484848,121.818181818,4016.36363636,115.151515152
g48453001753,63.6363636364,61.8181818182,3389.09090909,57.5757575758
g48453001719,115.151515152,132.121212121,2498.78787879,95.1515151515
g48453001718,193.939393939,196.96969697,3026.06060606,132.727272727
g48453001713,147.272727273,261.818181818,3035.15151515,137.575757576
g48453001712,179.393939394,206.666666667,4238.18181818,144.242424242
g48453001707,201.818181818,382.424242424,3385.45454545,150.303030303
g48453001706,151.515151515,173.333333333,3241.81818182,132.121212121
g48453001705,171.515151515,154.545454545,3432.72727273,126.060606061
g48453001605,251.515151515,335.757575758,3194.54545455,206.060606061
g48453001604,151.515151515,144.242424242,2664.84848485,131.515151515
g48453001603,160.606060606,201.818181818,2780.60606061,123.03030303
